,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_Minutes_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule,Link
0,Joe Barry Carroll,Career,Purdue,123,95,7.1,13.0,.546,,,,,,,,3.5,5.3,.651,9.3,0.7,0.8,2.8,,2.9,17.7,8.73,joe-barry-carroll-1
1,Darrell Griffith,Career,Louisville,126,,7.8,14.9,.523,,,,,,,,2.9,4.2,.697,4.6,3.0,,,3.5,2.7,18.5,4.53,darrell-griffith-1
2,Kevin McHale,Career,Minnesota,112,,6.4,11.5,.553,,,,,,,,2.5,3.2,.773,8.5,1.5,0.4,2.1,,,15.2,8.21,kevin-mchale-1
3,Kelvin Ransey,Career,Ohio State,112,109,7.4,15.1,.490,,,,,,,,2.5,3.2,.780,3.7,4.6,1.5,0.2,2.8,2.9,17.3,7.93,kelvin-ransey-1
4,James Ray,Career,Jacksonville,110,58,6.0,10.9,.546,,,,,,,,2.6,3.8,.679,7.2,,,,,,14.5,-0.74,james-ray-1
5,Mike O'Koren,Career,UNC,117,,5.5,9.6,.572,,,,,,,,4.1,5.6,.726,7.0,3.0,1.6,0.3,2.5,2.8,15.1,7.92,mike-okoren-1
6,Mike Gminski,Career,Duke,122,,7.4,13.9,.531,,,,,,,,4.3,5.4,.792,10.2,1.0,0.8,2.9,2.3,2.0,19.0,8.26,mike-gminski-1
7,Andrew Toney,Career,Louisiana,107,50,9.3,17.6,.529,,,,,,,,5.0,6.4,.774,3.2,,,,,3.4,23.6,-2.73,andrew-toney-1
8,Michael Brooks,Career,La Salle,114,,9.3,17.3,.538,,,,,,,,4.4,6.3,.700,12.0,1.7,,,,1.2,23.1,-1.28,michael-brooks-1
9,Ronnie Lester,Career,Iowa,99,,6.3,13.3,.471,,,,,,,,4.4,5.6,.774,2.3,4.8,1.4,0.2,,2.5,16.9,7.46,ronnie-lester-1
