,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft_Year,Link
0,1,GSW,Joe Barry Carroll,Purdue,10,705.0,22838.0,22838.0,5404,1264,.474,.000,.747,32.4,32.4,7.7,1.8,35.6,.075,-0.6,8.2,1980,joe-barry-carroll-1
1,2,UTA,Darrell Griffith,Louisville,10,765.0,21403.0,21403.0,2519,1627,.463,.332,.707,28.0,28.0,3.3,2.1,22.0,.049,-1.4,3.4,1980,darrell-griffith-1
2,3,BOS,Kevin McHale,Minnesota,13,971.0,30118.0,30118.0,7122,1670,.554,.261,.798,31.0,31.0,7.3,1.7,113.0,.180,2.5,34.3,1980,kevin-mchale-1
3,4,CHI,Kelvin Ransey,Ohio State,6,474.0,11586.0,11586.0,901,2480,.454,.132,.782,24.4,24.4,1.9,5.2,17.9,.074,-0.9,3.3,1980,kelvin-ransey-1
4,5,DEN,James Ray,Jacksonville University,3,103.0,843.0,843.0,228,76,.428,.333,.629,8.2,8.2,2.2,0.7,-0.3,-.017,-4.5,-0.6,1980,james-ray-1
5,6,NJN,Mike O'Koren,UNC,8,407.0,8810.0,8810.0,1391,856,.490,.271,.651,21.6,21.6,3.4,2.1,14.6,.080,-0.6,3.1,1980,mike-okoren-1
6,7,NJN,Mike Gminski,Duke,14,938.0,24058.0,24058.0,6480,1203,.465,.122,.843,25.6,25.6,6.9,1.3,55.9,.111,0.1,12.9,1980,mike-gminski-1
7,8,PHI,Andrew Toney,Louisiana,8,468.0,12608.0,12608.0,1009,1965,.500,.342,.797,26.9,26.9,2.2,4.2,26.9,.103,-0.6,4.4,1980,andrew-toney-1
8,9,SDC,Michael Brooks,La Salle,6,319.0,9372.0,9372.0,2001,818,.486,.152,.714,29.4,29.4,6.3,2.6,16.5,.085,-0.1,4.6,1980,michael-brooks-1
9,10,POR,Ronnie Lester,Iowa,6,250.0,4959.0,4959.0,473,1003,.469,.227,.788,19.8,19.8,1.9,4.0,6.3,.061,-1.3,0.9,1980,ronnie-lester-1
10,11,DAL,Kiki Vandeweghe,UCLA,13,810.0,24521.0,24521.0,2785,1668,.525,.368,.872,30.3,30.3,3.4,2.1,75.6,.148,0.9,17.7,1980,kiki-vandeweghe-1
11,12,NYK,Mike Woodson,Indiana,11,786.0,20021.0,20021.0,1838,1822,.466,.271,.813,25.5,25.5,2.3,2.3,34.6,.083,-0.3,8.5,1980,mike-woodson-1
12,13,GSW,Rickey Brown,Mississippi State,5,340.0,4487.0,4487.0,1200,119,.464,.000,.667,13.2,13.2,3.5,0.4,4.7,.051,-4.4,-2.8,1980,rickey-brown-1
13,14,WSB,Wes Matthews,Wisconsin,9,465.0,9305.0,9305.0,626,1955,.478,.225,.788,20.0,20.0,1.3,4.2,11.0,.057,-1.3,1.8,1980,wes-matthews-1
14,15,SAS,Reggie Johnson,Tennessee,4,305.0,5979.0,5979.0,1238,262,.505,.143,.716,19.6,19.6,4.1,0.9,11.0,.088,-2.4,-0.5,1980,reggie-johnson-1
15,16,KCK,Hawkeye Whitney,NC State,2,70.0,1048.0,1048.0,146,87,.462,.286,.750,15.0,15.0,2.1,1.2,1.3,.062,-1.6,0.1,1980,hawkeye-whitney-1
16,17,DET,Larry Drew,Missouri,10,714.0,18370.0,18370.0,1265,3702,.467,.291,.798,25.7,25.7,1.8,5.2,24.4,.064,-0.9,5.0,1980,larry-drew-1
